dataset,error_message
120001,Loading /autofs/space/transcend/MEG/AttenVis/120001/visit_20230929/120001_AttenVis_run02_behaviour.mat
120001,No missing values in RT
120001,Loading /autofs/space/transcend/MEG/AttenVis/120001/visit_20230929/120001_AttenVis_run03_behaviour.mat
120001,No missing values in RT
121201,Loading /autofs/space/transcend/MEG/AttenVis/121201/visit_20230807/121201_AttenVis_run01_behaviour.mat
121201,No missing values in RT
121201,Loading /autofs/space/transcend/MEG/AttenVis/121201/visit_20230807/121201_AttenVis_run02_behaviour.mat
121201,No missing values in RT
121201,Loading /autofs/space/transcend/MEG/AttenVis/121201/visit_20230807/121201_AttenVis_run03_behaviour.mat
121201,No missing values in RT
122501,Loading /autofs/space/transcend/MEG/AttenVis/122501/visit_20230828/122501_AttenVis_run01_behaviour.mat
122501,No missing values in RT
122501,Loading /autofs/space/transcend/MEG/AttenVis/122501/visit_20230828/122501_AttenVis_run02_behaviour.mat
122501,No missing values in RT
122501,Loading /autofs/space/transcend/MEG/AttenVis/122501/visit_20230828/122501_AttenVis_run03_behaviour.mat
122501,No missing values in RT
124101,Loading /autofs/space/transcend/MEG/AttenVis/124101/visit_20231027/124101_AttenVis_run01_behaviour.mat
124101,No missing values in RT
124101,Loading /autofs/space/transcend/MEG/AttenVis/124101/visit_20231027/124101_AttenVis_run02_behaviour.mat
124101,No missing values in RT
124101,Loading /autofs/space/transcend/MEG/AttenVis/124101/visit_20231027/124101_AttenVis_run03_behaviour.mat
124101,No missing values in RT
125701,Loading /autofs/space/transcend/MEG/AttenVis/125701/visit_20231101/125701_AttenVis_run01_behaviour.mat
125701,No missing values in RT
125701,Loading /autofs/space/transcend/MEG/AttenVis/125701/visit_20231101/125701_AttenVis_run02_behaviour.mat
125701,No missing values in RT
125701,Loading /autofs/space/transcend/MEG/AttenVis/125701/visit_20231101/125701_AttenVis_run03_behaviour.mat
125701,No missing values in RT
126701,Loading /autofs/space/transcend/MEG/AttenVis/126701/visit_20231030/126701_AttenVis_run01_behaviour.mat
126701,No missing values in RT
126701,Loading /autofs/space/transcend/MEG/AttenVis/126701/visit_20231030/126701_AttenVis_run02_behaviour.mat
126701,No missing values in RT
126701,Loading /autofs/space/transcend/MEG/AttenVis/126701/visit_20231030/126701_AttenVis_run03_behaviour.mat
126701,No missing values in RT
127401,Loading /autofs/space/transcend/MEG/AttenVis/127401/visit_20231103/127401_AttenVis_run01_behaviour.mat
